(0.4681704000, -0.5120144000, 0.7201610000)
(0.4780264000, -0.5081005000, 0.7164493000)
(0.4847687000, -0.5068082000, 0.7128336000)
(0.4853147000, -0.5163255000, 0.7055867000)
(0.4913412000, -0.5072556000, 0.7079915000)
(0.4950051000, -0.5071474000, 0.7055117000)
(0.4917468000, -0.5067123000, 0.7081109000)
(0.4919786000, -0.5094920000, 0.7059375000)
(0.4914204000, -0.5093601000, 0.7064291000)
(0.4919764000, -0.5094950000, 0.7059381000)
(0.4923418000, -0.5097849000, 0.7054704000)
(0.4890900000, -0.5120064000, 0.7061238000)
(0.4879046000, -0.5112098000, 0.7075279000)
(0.4895076000, -0.5129099000, 0.7051868000)
(0.4829321000, -0.5129766000, 0.7096502000)
(0.4902715000, -0.5166212000, 0.7019404000)
(0.4854246000, -0.5146059000, 0.7067805000)
(0.4861498000, -0.5139053000, 0.7067796000)
(0.4827420000, -0.5151544000, 0.7082027000)
(0.4920579000, -0.5094160000, 0.7059512000)
(0.4891267000, -0.5146734000, 0.7041636000)
(0.4890946000, -0.5095199000, 0.7079158000)
(0.4904311000, -0.5099305000, 0.7067008000)
(0.4866837000, -0.5120439000, 0.7077650000)
(0.4852349000, -0.5140643000, 0.7072875000)
(0.4876982000, -0.5114431000, 0.7074919000)
(0.4872473000, -0.5118335000, 0.7075394000)
(0.4857381000, -0.5112029000, 0.7090303000)
(0.4841262000, -0.5116070000, 0.7098376000)
(0.4797609000, -0.5175552000, 0.7084770000)
(0.4832418000, -0.5122691000, 0.7099579000)
(0.4813429000, -0.5171848000, 0.7076697000)
(0.4804497000, -0.5168385000, 0.7085323000)
(0.4842027000, -0.5172375000, 0.7056817000)
(0.4811476000, -0.5135909000, 0.7104341000)
(0.4804524000, -0.5170518000, 0.7083790000)
(0.4798629000, -0.5174744000, 0.7084666000)
(0.4795355000, -0.5170905000, 0.7089733000)
(0.4743272000, -0.5182285000, 0.7116532000)
(0.4706623000, -0.5189362000, 0.7135621000)
(0.4690336000, -0.5217081000, 0.7126157000)
(0.4704788000, -0.5211935000, 0.7120284000)
(0.4709085000, -0.5211435000, 0.7117925000)
(0.4705310000, -0.5222499000, 0.7112123000)
(0.4674844000, -0.5226889000, 0.7129104000)
(0.4696886000, -0.5191631000, 0.7140405000)
(0.4676625000, -0.5216562000, 0.7135383000)
(0.4621294000, -0.5183188000, 0.7195492000)
(0.4647124000, -0.5229710000, 0.7145166000)
(0.4608970000, -0.5188882000, 0.7199306000)
(0.4549214000, -0.5147068000, 0.7267040000)
(0.4528278000, -0.5184190000, 0.7253723000)
(0.4514941000, -0.5184985000, 0.7261612000)
(0.4494621000, -0.5176143000, 0.7280294000)
(0.4496695000, -0.5210059000, 0.7254976000)
(0.4461800000, -0.5177205000, 0.7299708000)
(0.4446608000, -0.5202638000, 0.7291101000)
(0.4475956000, -0.5229295000, 0.7253884000)
(0.4662931000, -0.5257100000, 0.7114738000)
(0.5114848000, -0.5162189000, 0.6869361000)
(0.5177234000, -0.5094382000, 0.6873294000)
(0.5122422000, -0.5110257000, 0.6902502000)
(0.5136959000, -0.5151414000, 0.6861035000)
(0.5107069000, -0.5130369000, 0.6898957000)
(0.5091083000, -0.5122721000, 0.6916505000)
(0.5033275000, -0.5135028000, 0.6949453000)
(0.5043899000, -0.5149125000, 0.6931387000)
(0.5038849000, -0.5142023000, 0.6940373000)
(0.4961685000, -0.5134398000, 0.7001250000)
(0.4952205000, -0.5147946000, 0.6998117000)
(0.4929141000, -0.5146173000, 0.7015543000)
(0.4974406000, -0.5090429000, 0.7024371000)
(0.4962864000, -0.5128096000, 0.7005033000)
(0.4924015000, -0.5105673000, 0.7048727000)
(0.4831444000, -0.5147690000, 0.7082065000)
(0.4835176000, -0.5182895000, 0.7053942000)
(0.4772312000, -0.5139644000, 0.7127902000)
(0.4805106000, -0.5148408000, 0.7099478000)
(0.4830324000, -0.5142407000, 0.7086830000)
(0.4769414000, -0.5164688000, 0.7111779000)
(0.4716854000, -0.5139604000, 0.7164880000)
(0.4685554000, -0.5153435000, 0.7175360000)
(0.4670457000, -0.5191165000, 0.7158050000)
(0.4701569000, -0.5162720000, 0.7158158000)
(0.4697244000, -0.5149486000, 0.7170574000)
(0.4659784000, -0.5172979000, 0.7178022000)
(0.4643691000, -0.5094437000, 0.7244316000)
(0.4608982000, -0.5143681000, 0.7231705000)
(0.4596377000, -0.5152907000, 0.7233293000)
(0.4568669000, -0.5126894000, 0.7269086000)
(0.4554819000, -0.5119671000, 0.7282919000)
(0.4539750000, -0.5139961000, 0.7278060000)
(0.4544843000, -0.5143360000, 0.7272522000)
(0.4545027000, -0.5145464000, 0.7270733000)
(0.4547292000, -0.5147732000, 0.7267802000)
(0.4490002000, -0.5149238000, 0.7302370000)
(0.4424197000, -0.5181095000, 0.7319849000)
(0.4387275000, -0.5186905000, 0.7337942000)
(0.4456455000, -0.5119603000, 0.7343460000)
(0.4604937000, -0.5160491000, 0.7222425000)
