(-0.6687671000, 0.0088415330, -0.0001239626, 0.7434194000)
(-0.6688844000, 0.0087514880, -0.0001904907, 0.7433150000)
(-0.6686921000, 0.0089035820, -0.0002425016, 0.7434861000)
(-0.6688842000, 0.0089029990, -0.0001047459, 0.7433134000)
(-0.6687646000, 0.0089417130, -0.0001746138, 0.7434204000)
(-0.6688017000, 0.0088466750, -0.0002104507, 0.7433882000)
(-0.6689110000, 0.0088986030, -0.0000450692, 0.7432892000)
(-0.6685941000, 0.0089520910, -0.0002300797, 0.7435737000)
(-0.6689168000, 0.0089591850, -0.0002364576, 0.7432833000)
(-0.6688234000, 0.0088134140, -0.0002450013, 0.7433690000)
(-0.6685381000, 0.0089756240, -0.0002980569, 0.7436237000)
(-0.6687667000, 0.0088395920, -0.0003429112, 0.7434198000)
(-0.6687612000, 0.0090295850, -0.0001939511, 0.7434225000)
(-0.6687245000, 0.0089617720, -0.0002045852, 0.7434562000)
(-0.6688239000, 0.0088943110, -0.0001585131, 0.7433677000)
(-0.6687757000, 0.0088877490, -0.0001502105, 0.7434111000)
(-0.6687259000, 0.0088862390, -0.0002257486, 0.7434559000)
(-0.6687747000, 0.0089532370, -0.0000646250, 0.7434113000)
(-0.6689688000, 0.0089476790, -0.0000907431, 0.7432367000)
(-0.6689045000, 0.0089666700, -0.0002755301, 0.7432942000)
(-0.6689824000, 0.0088854240, -0.0001399126, 0.7432252000)
(-0.6688970000, 0.0088466550, -0.0003637211, 0.7433025000)
(-0.6689945000, 0.0089299520, -0.0003229238, 0.7432137000)
(-0.6689232000, 0.0087648500, -0.0001821541, 0.7432798000)
(-0.6689198000, 0.0088563110, -0.0002394838, 0.7432818000)
(-0.6689830000, 0.0090030800, -0.0002113355, 0.7432232000)
(-0.6689901000, 0.0089457560, -0.0000877314, 0.7432175000)
(-0.6688746000, 0.0089485070, -0.0001440505, 0.7433214000)
(-0.6688601000, 0.0089002830, -0.0001321967, 0.7433350000)
(-0.6688582000, 0.0089811300, -0.0003189507, 0.7433358000)
(-0.6689185000, 0.0088822800, -0.0001568694, 0.7432827000)
(-0.6688389000, 0.0090883190, -0.0001731750, 0.7433518000)
(-0.6688423000, 0.0089672220, -0.0001715191, 0.7433503000)
(-0.6687895000, 0.0089811890, -0.0002611054, 0.7433975000)
(-0.6688037000, 0.0091022940, -0.0003076453, 0.7433833000)
(-0.6689588000, 0.0090434730, -0.0003285802, 0.7432444000)
(-0.6688600000, 0.0089330520, -0.0002496321, 0.7433347000)
(-0.6689292000, 0.0090192910, -0.0002587267, 0.7432714000)
(-0.6688498000, 0.0090172700, -0.0003267419, 0.7433429000)
(-0.6688990000, 0.0089867130, -0.0001756751, 0.7432989000)
(-0.6689280000, 0.0090791350, -0.0002163336, 0.7432718000)
(-0.6688411000, 0.0090511450, -0.0001663209, 0.7433503000)
(-0.6687902000, 0.0090572780, -0.0001605666, 0.7433960000)
(-0.6688788000, 0.0088925120, -0.0003491794, 0.7433183000)
(-0.6689582000, 0.0089376110, -0.0001925200, 0.7432463000)
(-0.6689892000, 0.0090116730, -0.0001111211, 0.7432175000)
(-0.6689365000, 0.0089792940, -0.0003622539, 0.7432653000)
(-0.6689228000, 0.0089370350, -0.0003791380, 0.7432781000)
(-0.6689711000, 0.0090742890, -0.0003784756, 0.7432330000)
(-0.6690343000, 0.0090507130, -0.0002372946, 0.7431764000)
(-0.6689413000, 0.0090765340, -0.0003446202, 0.7432597000)
(-0.6689405000, 0.0090029290, -0.0003073549, 0.7432613000)
(-0.6690133000, 0.0089761650, -0.0003469686, 0.7431962000)
(-0.6689199000, 0.0089906770, -0.0002780707, 0.7432801000)
