(0.0333274000, -0.7470310000, 0.6639519000)
(0.0345516500, -0.7472872000, 0.6635885000)
(0.0340097600, -0.7472897000, 0.6636219000)
(0.0340502700, -0.7472429000, 0.6636599000)
(0.0340471100, -0.7478283000, 0.6629948000)
(0.0340853500, -0.7477877000, 0.6630425000)
(0.0343909600, -0.7476387000, 0.6631917000)
(0.0339170300, -0.7481252000, 0.6626711000)
(0.0348407600, -0.7479345000, 0.6628377000)
(0.0341175900, -0.7475429000, 0.6633158000)
(0.0340791200, -0.7484090000, 0.6623369000)
(0.0340467100, -0.7483170000, 0.6624449000)
(0.0332009900, -0.7480487000, 0.6628034000)
(0.0329455800, -0.7484739000, 0.6623313000)
(0.0333417300, -0.7482868000, 0.6625233000)
(0.0332595300, -0.7485152000, 0.6622797000)
(0.0340386100, -0.7477698000, 0.6630743000)
(0.0336316300, -0.7478973000, 0.6629376000)
(0.0338904400, -0.7479689000, 0.6628469000)
(0.0263698500, -0.7425038000, 0.6693093000)
(-0.0012420860, -0.7529606000, 0.6580472000)
(-0.0252096100, -0.7663466000, 0.6419097000)
(-0.0341214500, -0.7800289000, 0.6247891000)
(-0.0342485300, -0.7751724000, 0.6308131000)
(-0.0274411000, -0.7677538000, 0.6401489000)
(-0.0133528800, -0.7607095000, 0.6489428000)
(-0.0008229738, -0.7540286000, 0.6568326000)
(-0.0077170680, -0.7537306000, 0.6571293000)
(0.0039136290, -0.7498131000, 0.6616257000)
(0.0035012980, -0.7422312000, 0.6701221000)
(-0.0022681290, -0.7357726000, 0.6772221000)
(-0.0198020900, -0.7310337000, 0.6820402000)
(-0.0378590300, -0.7321345000, 0.6800874000)
(-0.0327983300, -0.7241460000, 0.6888641000)
(-0.0355490300, -0.7185811000, 0.6945325000)
(-0.0259708600, -0.7162064000, 0.6974038000)
(-0.0197848800, -0.7085257000, 0.7053946000)
(-0.0115387300, -0.7109883000, 0.7030898000)
(-0.0109698700, -0.7016042000, 0.7124690000)
(-0.0130510600, -0.7030033000, 0.7110537000)
(-0.0097145890, -0.7072625000, 0.7068807000)
(-0.0155776200, -0.7210453000, 0.6926987000)
(-0.0176493600, -0.7496630000, 0.6615813000)
(-0.0077899140, -0.7693187000, 0.6387997000)
(-0.0017986490, -0.7811787000, 0.6242795000)
(-0.0006749842, -0.7849111000, 0.6195852000)
(-0.0015101780, -0.7747911000, 0.6322117000)
(-0.0013587010, -0.7702836000, 0.6376967000)
(0.0033639360, -0.7677106000, 0.6407844000)
(-0.0031848290, -0.7614998000, 0.6481542000)
(-0.0034979680, -0.7580454000, 0.6521893000)
(0.0048624640, -0.7627130000, 0.6467022000)
(-0.0032652430, -0.7596834000, 0.6502729000)
(-0.0159325800, -0.7553436000, 0.6551254000)
(-0.0295484400, -0.7491202000, 0.6617623000)
(-0.0270298600, -0.7328796000, 0.6798131000)
(-0.0239499200, -0.7317926000, 0.6810984000)
(-0.0197582600, -0.7257393000, 0.6876831000)
(-0.0318710100, -0.7244972000, 0.6885171000)
(-0.0283325800, -0.7256415000, 0.6874852000)
(-0.0218219000, -0.7212848000, 0.6922898000)
(-0.0071641770, -0.7225800000, 0.6912386000)
(-0.0132672700, -0.7208158000, 0.6929889000)
(-0.0074309510, -0.7135732000, 0.7005374000)
(-0.0058647150, -0.7067066000, 0.7074709000)
(-0.0073875780, -0.7089643000, 0.7051890000)
(-0.0174258100, -0.7073984000, 0.7065850000)
(-0.0170323400, -0.7035938000, 0.7103823000)
(-0.0215233500, -0.6969390000, 0.7168002000)
(-0.0229788200, -0.6944257000, 0.7191777000)
(-0.0189624900, -0.7063396000, 0.7076122000)
(-0.0045351920, -0.7271701000, 0.6864283000)
(0.0085052330, -0.7410482000, 0.6713966000)
(0.0094460720, -0.7605156000, 0.6492291000)
(0.0088833280, -0.7547293000, 0.6559722000)
(0.0071517670, -0.7590038000, 0.6510239000)
(0.0092796920, -0.7500892000, 0.6612586000)
(-0.0009180005, -0.7411602000, 0.6713088000)
(-0.0038539110, -0.7415861000, 0.6708433000)
(-0.0047160690, -0.7322155000, 0.6810392000)
(-0.0065485160, -0.7292959000, 0.6841505000)
(-0.0059390030, -0.7291640000, 0.6843109000)
(-0.0077768940, -0.7244674000, 0.6892484000)
(-0.0032787800, -0.7198561000, 0.6940996000)
(-0.0028962600, -0.7168109000, 0.6972412000)
(-0.0017796690, -0.7094774000, 0.7047060000)
(-0.0044993730, -0.7033069000, 0.7108589000)
(-0.0057768910, -0.7025805000, 0.7115755000)
(-0.0026767750, -0.7112377000, 0.7029423000)
(-0.0069418790, -0.7057828000, 0.7083842000)
(0.0040789450, -0.6994553000, 0.7146521000)
(0.0038696490, -0.6724393000, 0.7401387000)
(0.0005622678, -0.6790057000, 0.7341136000)
(0.0061479080, -0.6795237000, 0.7336116000)
(-0.0022631810, -0.6651990000, 0.7466618000)
(0.0022291730, -0.6626998000, 0.7488701000)
(0.0028163620, -0.6621866000, 0.7493274000)
(0.0087880800, -0.6855520000, 0.7279624000)
(-0.0090282880, -0.6891241000, 0.7245664000)
(-0.0208081800, -0.7036620000, 0.7102117000)
(-0.0254324800, -0.7168110000, 0.6967877000)
(0.0127831100, -0.7047220000, 0.7093489000)
(0.0134206500, -0.7038342000, 0.7102239000)
(0.0040837360, -0.7202827000, 0.6936562000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0000000000, 0.0000000000, 0.0000000000)
(0.0005475760, -0.7663552000, 0.6423963000)
(0.0217306400, -0.7806634000, 0.6245490000)
(0.0225700200, -0.7608200000, 0.6485445000)
(0.0218712100, -0.7666332000, 0.6416912000)
(0.0173619800, -0.7512993000, 0.6597227000)
(0.0159924400, -0.7339039000, 0.6790633000)
(0.0067914110, -0.7346732000, 0.6783655000)
(0.0133769600, -0.7572713000, 0.6529527000)
(0.0150929100, -0.7634498000, 0.6456767000)
(0.0165126300, -0.7557044000, 0.6546840000)
(0.0134906900, -0.7492123000, 0.6621822000)
(-0.0257907300, -0.7483665000, 0.6627682000)
(-0.0328620600, -0.7600334000, 0.6490355000)
(-0.0292316800, -0.7635331000, 0.6450939000)
(-0.0349428500, -0.7571445000, 0.6522901000)
(-0.0268376000, -0.7617081000, 0.6473551000)
(-0.0302043400, -0.7429244000, 0.6686697000)
(-0.0309907000, -0.7387427000, 0.6732598000)
(-0.0258677100, -0.7349331000, 0.6776298000)
(-0.0282045200, -0.7367424000, 0.6755623000)
(-0.0270681300, -0.7359952000, 0.6764287000)
(-0.0336780300, -0.7292140000, 0.6834448000)
(-0.0316857800, -0.7276717000, 0.6851865000)
(-0.0079570380, -0.7209863000, 0.6928862000)
(0.0065128240, -0.7204696000, 0.6934333000)
(-0.0033879440, -0.7663612000, 0.6423786000)
(-0.0064260850, -0.7808939000, 0.6246218000)
(-0.0238580800, -0.7714003000, 0.6358885000)
(-0.0265573900, -0.7675326000, 0.6404446000)
(-0.0232255700, -0.7633573000, 0.6455532000)
(-0.0138863900, -0.7688491000, 0.6392611000)
(-0.0147622600, -0.7681776000, 0.6400552000)
(-0.0390786600, -0.7508659000, 0.6592807000)
(-0.0355411500, -0.7477347000, 0.6630388000)
(-0.0299950400, -0.7482070000, 0.6627740000)
(-0.0380874600, -0.7430670000, 0.6681283000)
(-0.0341746000, -0.7388309000, 0.6730221000)
(-0.0312577000, -0.7338873000, 0.6785280000)
(-0.0351642000, -0.7332011000, 0.6790968000)
(-0.0311489400, -0.7327707000, 0.6797554000)
(-0.0415057200, -0.7288939000, 0.6833469000)
