(-0.5356758000, -0.3668703000, 0.1322100000, 0.7489848000)
(-0.5356513000, -0.3669873000, 0.1321653000, 0.7489529000)
(-0.5358078000, -0.3670621000, 0.1322368000, 0.7487916000)
(-0.5358592000, -0.3669199000, 0.1323307000, 0.7488080000)
(-0.5359699000, -0.3669417000, 0.1323537000, 0.7487140000)
(-0.5362135000, -0.3668802000, 0.1323590000, 0.7485687000)
(-0.5362319000, -0.3669723000, 0.1322927000, 0.7485222000)
(-0.5363159000, -0.3670037000, 0.1323675000, 0.7484333000)
(-0.5365317000, -0.3671400000, 0.1322852000, 0.7482263000)
(-0.5367565000, -0.3671499000, 0.1323406000, 0.7480504000)
(-0.5365469000, -0.3671649000, 0.1323482000, 0.7481920000)
(-0.5363232000, -0.3671451000, 0.1323114000, 0.7483686000)
(-0.5360523000, -0.3670219000, 0.1320179000, 0.7486749000)
(-0.5345899000, -0.3671435000, 0.1317100000, 0.7497145000)
(-0.5341755000, -0.3672945000, 0.1317336000, 0.7499318000)
(-0.5342886000, -0.3674827000, 0.1315001000, 0.7497998000)
(-0.5341781000, -0.3673555000, 0.1315299000, 0.7499357000)
(-0.5341430000, -0.3676373000, 0.1314735000, 0.7498325000)
(-0.5342684000, -0.3675568000, 0.1314771000, 0.7497820000)
(-0.5342489000, -0.3675609000, 0.1314066000, 0.7498062000)
(-0.5343485000, -0.3675532000, 0.1314268000, 0.7497355000)
(-0.5344306000, -0.3674493000, 0.1314660000, 0.7497210000)
(-0.5344989000, -0.3674186000, 0.1315186000, 0.7496781000)
(-0.5344647000, -0.3673292000, 0.1314387000, 0.7497605000)
(-0.5342817000, -0.3673369000, 0.1313456000, 0.7499034000)
(-0.5344955000, -0.3672869000, 0.1314489000, 0.7497574000)
(-0.5343298000, -0.3671546000, 0.1313797000, 0.7499524000)
(-0.5346097000, -0.3671175000, 0.1313729000, 0.7497723000)
(-0.5345511000, -0.3672009000, 0.1314338000, 0.7497625000)
(-0.5346377000, -0.3671029000, 0.1313665000, 0.7497605000)
(-0.5344309000, -0.3672618000, 0.1312932000, 0.7498431000)
(-0.5346203000, -0.3671764000, 0.1312470000, 0.7497579000)
(-0.5344578000, -0.3672203000, 0.1311821000, 0.7498636000)
(-0.5344886000, -0.3675115000, 0.1312427000, 0.7496883000)
(-0.5344750000, -0.3675440000, 0.1311469000, 0.7496989000)
(-0.5343373000, -0.3677087000, 0.1310835000, 0.7497274000)
(-0.5341266000, -0.3676914000, 0.1311484000, 0.7498747000)
(-0.5341814000, -0.3676941000, 0.1311141000, 0.7498403000)
(-0.5344452000, -0.3676872000, 0.1313071000, 0.7496219000)
(-0.5346851000, -0.3677529000, 0.1313251000, 0.7494154000)
(-0.5349329000, -0.3676844000, 0.1314465000, 0.7492508000)
(-0.5351287000, -0.3676460000, 0.1314160000, 0.7491353000)
(-0.5349446000, -0.3676539000, 0.1314674000, 0.7492538000)
(-0.5348789000, -0.3677070000, 0.1315396000, 0.7492620000)
(-0.5347033000, -0.3677516000, 0.1313741000, 0.7493944000)
(-0.5347934000, -0.3677244000, 0.1313239000, 0.7493522000)
(-0.5346928000, -0.3678548000, 0.1314636000, 0.7493356000)
(-0.5345531000, -0.3681522000, 0.1312593000, 0.7493250000)
(-0.5343127000, -0.3681911000, 0.1312174000, 0.7494848000)
(-0.5342097000, -0.3681551000, 0.1310135000, 0.7496115000)
(-0.5343479000, -0.3682092000, 0.1310708000, 0.7494764000)
(-0.5344626000, -0.3680914000, 0.1311114000, 0.7494453000)
(-0.5342810000, -0.3682133000, 0.1311926000, 0.7495008000)
(-0.5343041000, -0.3682512000, 0.1311643000, 0.7494705000)
(-0.5343956000, -0.3682516000, 0.1312199000, 0.7493954000)
