(-0.3702539000, -0.5389405000, 0.1017701000, 0.7497320000)
(-0.3702655000, -0.5389411000, 0.1018019000, 0.7497215000)
(-0.3702161000, -0.5389772000, 0.1017625000, 0.7497253000)
(-0.3703106000, -0.5389774000, 0.1017714000, 0.7496773000)
(-0.3701710000, -0.5389671000, 0.1017243000, 0.7497600000)
(-0.3701372000, -0.5389345000, 0.1016840000, 0.7498057000)
(-0.3701849000, -0.5390420000, 0.1017028000, 0.7497022000)
(-0.3701849000, -0.5390420000, 0.1017028000, 0.7497022000)
(-0.3698120000, -0.5385351000, 0.1017024000, 0.7502504000)
(-0.3697758000, -0.5385538000, 0.1017666000, 0.7502462000)
(-0.3697749000, -0.5385914000, 0.1017154000, 0.7502266000)
(-0.3697423000, -0.5385377000, 0.1015637000, 0.7503017000)
(-0.3698645000, -0.5385503000, 0.1016837000, 0.7502162000)
(-0.3698552000, -0.5386324000, 0.1017564000, 0.7501519000)
(-0.3699050000, -0.5385680000, 0.1016968000, 0.7501817000)
(-0.3697587000, -0.5385610000, 0.1016099000, 0.7502706000)
(-0.3698970000, -0.5385472000, 0.1017300000, 0.7501961000)
(-0.3698558000, -0.5385743000, 0.1016111000, 0.7502130000)
(-0.3698686000, -0.5385996000, 0.1017765000, 0.7501662000)
(-0.3698571000, -0.5387506000, 0.1015937000, 0.7500882000)
(-0.3698339000, -0.5386623000, 0.1016281000, 0.7501584000)
(-0.3699103000, -0.5386832000, 0.1015481000, 0.7501165000)
(-0.3698551000, -0.5386856000, 0.1015539000, 0.7501412000)
(-0.3699227000, -0.5385178000, 0.1016771000, 0.7502117000)
(-0.3697784000, -0.5387042000, 0.1015604000, 0.7501649000)
(-0.3697850000, -0.5386709000, 0.1016070000, 0.7501792000)
(-0.3698876000, -0.5384483000, 0.1016411000, 0.7502837000)
(-0.3699355000, -0.5385911000, 0.1016648000, 0.7501544000)
(-0.3699200000, -0.5385873000, 0.1015523000, 0.7501800000)
(-0.3698043000, -0.5385420000, 0.1015331000, 0.7502722000)
(-0.3698428000, -0.5385761000, 0.1014452000, 0.7502407000)
(-0.3697255000, -0.5385247000, 0.1015105000, 0.7503265000)
(-0.3697419000, -0.5385953000, 0.1015014000, 0.7502690000)
(-0.3698478000, -0.5383919000, 0.1015228000, 0.7503598000)
(-0.3697847000, -0.5385337000, 0.1016089000, 0.7502775000)
(-0.3698179000, -0.5385368000, 0.1015939000, 0.7502610000)
(-0.3697694000, -0.5383996000, 0.1015500000, 0.7503892000)
(-0.3698093000, -0.5384614000, 0.1016386000, 0.7503133000)
(-0.3697530000, -0.5385166000, 0.1016398000, 0.7503012000)
(-0.3699368000, -0.5384259000, 0.1017023000, 0.7502673000)
(-0.3697341000, -0.5385092000, 0.1016412000, 0.7503157000)
(-0.3697737000, -0.5385070000, 0.1016426000, 0.7502975000)
(-0.3696843000, -0.5384511000, 0.1015837000, 0.7503897000)
(-0.3697802000, -0.5384985000, 0.1016743000, 0.7502962000)
(-0.3696371000, -0.5385426000, 0.1016640000, 0.7503364000)
(-0.3697734000, -0.5386510000, 0.1017547000, 0.7501792000)
(-0.3697694000, -0.5386302000, 0.1016307000, 0.7502128000)
(-0.3698507000, -0.5385128000, 0.1017986000, 0.7502343000)
(-0.3696984000, -0.5385146000, 0.1016812000, 0.7503241000)
(-0.3697227000, -0.5385127000, 0.1017698000, 0.7503014000)
(-0.3697496000, -0.5385028000, 0.1016745000, 0.7503082000)
(-0.3697149000, -0.5385264000, 0.1016767000, 0.7503081000)
(-0.3698722000, -0.5385995000, 0.1016720000, 0.7501786000)
