(-0.4579545000, -0.1657161000, 0.0659729200, 0.8708981000)
(-0.4580052000, -0.1655037000, 0.0660302200, 0.8709074000)
(-0.4579490000, -0.1656236000, 0.0661179100, 0.8709075000)
(-0.4579478000, -0.1656045000, 0.0662605000, 0.8709010000)
(-0.4579788000, -0.1657324000, 0.0662440400, 0.8708616000)
(-0.4578423000, -0.1655764000, 0.0661419500, 0.8709708000)
(-0.4580094000, -0.1656398000, 0.0662896000, 0.8708597000)
(-0.4580210000, -0.1656523000, 0.0662123300, 0.8708571000)
(-0.4578483000, -0.1657049000, 0.0662376500, 0.8709360000)
(-0.4580644000, -0.1656028000, 0.0662723700, 0.8708391000)
(-0.4579052000, -0.1656211000, 0.0662570300, 0.8709205000)
(-0.4578714000, -0.1656367000, 0.0662163000, 0.8709384000)
(-0.4579587000, -0.1657261000, 0.0662876800, 0.8708701000)
(-0.4579191000, -0.1656776000, 0.0662561400, 0.8709025000)
(-0.4579391000, -0.1655955000, 0.0663113100, 0.8709034000)
(-0.4579111000, -0.1656301000, 0.0662877000, 0.8709134000)
(-0.4578980000, -0.1656143000, 0.0662781100, 0.8709240000)
(-0.4578665000, -0.1655550000, 0.0662899300, 0.8709509000)
(-0.4578300000, -0.1656646000, 0.0663777300, 0.8709426000)
(-0.4579327000, -0.1656819000, 0.0664282100, 0.8708815000)
(-0.4578172000, -0.1654981000, 0.0663186700, 0.8709854000)
(-0.4578815000, -0.1656500000, 0.0663791100, 0.8709182000)
(-0.4577568000, -0.1654407000, 0.0663222900, 0.8710278000)
(-0.4578434000, -0.1655568000, 0.0665533300, 0.8709427000)
(-0.4576885000, -0.1656136000, 0.0663479600, 0.8710290000)
(-0.4578905000, -0.1656056000, 0.0664491900, 0.8709165000)
(-0.4579257000, -0.1655528000, 0.0663253900, 0.8709176000)
(-0.4579074000, -0.1657495000, 0.0663178900, 0.8708903000)
(-0.4578316000, -0.1657088000, 0.0663928800, 0.8709322000)
(-0.4579210000, -0.1656754000, 0.0662478600, 0.8709025000)
(-0.4579911000, -0.1655963000, 0.0662942300, 0.8708772000)
(-0.4578536000, -0.1656758000, 0.0662995000, 0.8709340000)
(-0.4579432000, -0.1656604000, 0.0664119600, 0.8708813000)
(-0.4580765000, -0.1656945000, 0.0664397600, 0.8708025000)
(-0.4578170000, -0.1656828000, 0.0665322100, 0.8709341000)
(-0.4578757000, -0.1658083000, 0.0664591900, 0.8708850000)
(-0.4579272000, -0.1657209000, 0.0663946400, 0.8708795000)
(-0.4579231000, -0.1657389000, 0.0665165800, 0.8708689000)
(-0.4578436000, -0.1658461000, 0.0664890800, 0.8708924000)
(-0.4578913000, -0.1657758000, 0.0665119300, 0.8708790000)
(-0.4578234000, -0.1657106000, 0.0665244700, 0.8709261000)
(-0.4578915000, -0.1657912000, 0.0665212400, 0.8708752000)
(-0.4578981000, -0.1656326000, 0.0664797400, 0.8709050000)
(-0.4578304000, -0.1657360000, 0.0665007600, 0.8709194000)
(-0.4577801000, -0.1659313000, 0.0664471200, 0.8709127000)
(-0.4577899000, -0.1657582000, 0.0664842100, 0.8709377000)
(-0.4578355000, -0.1657428000, 0.0664207400, 0.8709216000)
(-0.4578030000, -0.1659013000, 0.0664806100, 0.8709038000)
(-0.4578739000, -0.1657888000, 0.0664835600, 0.8708878000)
(-0.4578475000, -0.1657283000, 0.0664412300, 0.8709164000)
(-0.4578527000, -0.1658826000, 0.0665158000, 0.8708786000)
(-0.4578146000, -0.1659762000, 0.0665660400, 0.8708770000)
(-0.4579069000, -0.1658291000, 0.0665108400, 0.8708607000)
(-0.4578653000, -0.1656981000, 0.0665084800, 0.8709077000)
