(-0.5677872000, -0.7005403000, 0.4322486000)
(-0.5670099000, -0.6969054000, 0.4390814000)
(-0.5553226000, -0.6973855000, 0.4530639000)
(-0.5565378000, -0.6974415000, 0.4514626000)
(-0.5613803000, -0.6957013000, 0.4481315000)
(-0.5649466000, -0.6946585000, 0.4452737000)
(-0.5676451000, -0.6948298000, 0.4415495000)
(-0.5682023000, -0.6967382000, 0.4378334000)
(-0.5648081000, -0.6955575000, 0.4440312000)
(-0.5627995000, -0.6957483000, 0.4462948000)
(-0.5609087000, -0.6930360000, 0.4528295000)
(-0.5637912000, -0.6968592000, 0.4433066000)
(-0.5708141000, -0.6941566000, 0.4385101000)
(-0.5648056000, -0.6992337000, 0.4382186000)
(-0.5686037000, -0.6889546000, 0.4494568000)
(-0.5738491000, -0.6906289000, 0.4401145000)
(-0.5693031000, -0.6917058000, 0.4443141000)
(-0.5714230000, -0.6903080000, 0.4437609000)
(-0.5730522000, -0.6900629000, 0.4420453000)
(-0.5734737000, -0.6877372000, 0.4451096000)
(-0.5760516000, -0.6867595000, 0.4433008000)
(-0.5778325000, -0.6879894000, 0.4390452000)
(-0.5756958000, -0.6907009000, 0.4375846000)
(-0.5787075000, -0.6876685000, 0.4384070000)
(-0.5771052000, -0.6887097000, 0.4388675000)
(-0.5814011000, -0.6843494000, 0.4400407000)
(-0.5780416000, -0.6852630000, 0.4430086000)
(-0.5656968000, -0.6891785000, 0.4527704000)
(-0.5642004000, -0.6902214000, 0.4530395000)
(-0.5650986000, -0.6914196000, 0.4501090000)
(-0.5655291000, -0.6918098000, 0.4489439000)
(-0.5667728000, -0.6911753000, 0.4483550000)
(-0.5853074000, -0.6807141000, 0.4404961000)
(-0.5796704000, -0.6829750000, 0.4444299000)
(-0.5585812000, -0.6838937000, 0.4693190000)
(-0.5308205000, -0.6824361000, 0.5024863000)
(-0.5382517000, -0.6768821000, 0.5021063000)
(-0.5379236000, -0.6796245000, 0.4987277000)
(-0.5363589000, -0.6804064000, 0.4993430000)
(-0.5416770000, -0.6731427000, 0.5034404000)
(-0.5405500000, -0.6816336000, 0.4931077000)
(-0.5416750000, -0.6797849000, 0.4944341000)
(-0.5433000000, -0.6793748000, 0.4932114000)
(-0.5425781000, -0.6816871000, 0.4908138000)
(-0.5450579000, -0.6784610000, 0.4925171000)
(-0.5453739000, -0.6804723000, 0.4893833000)
(-0.5461997000, -0.6811792000, 0.4874914000)
(-0.5507434000, -0.6785466000, 0.4860418000)
(-0.5519984000, -0.6795818000, 0.4831533000)
(-0.5523888000, -0.6792973000, 0.4831347000)
(-0.5495362000, -0.6815142000, 0.4832636000)
(-0.5489476000, -0.6810453000, 0.4845832000)
(-0.5462023000, -0.6867337000, 0.4796160000)
(-0.5472220000, -0.6842062000, 0.4820650000)
(-0.5358585000, -0.6828451000, 0.4965580000)
(-0.5268149000, -0.6757308000, 0.5155963000)
(-0.5282005000, -0.6799664000, 0.5085728000)
(-0.5304218000, -0.6735380000, 0.5147686000)
(-0.5286558000, -0.6759238000, 0.5134488000)
(-0.5325268000, -0.6758750000, 0.5094877000)
(-0.5321390000, -0.6729788000, 0.5137209000)
(-0.5341803000, -0.6729559000, 0.5116261000)
(-0.5305812000, -0.6747942000, 0.5129601000)
(-0.5275458000, -0.6763304000, 0.5140554000)
(-0.5198116000, -0.6643793000, 0.5369980000)
(-0.5211422000, -0.6568630000, 0.5449113000)
(-0.5234609000, -0.6596988000, 0.5392294000)
(-0.5249984000, -0.6595838000, 0.5378779000)
(-0.5307868000, -0.6551292000, 0.5376316000)
(-0.5314026000, -0.6588647000, 0.5324376000)
(-0.5367969000, -0.6586124000, 0.5273083000)
(-0.5337307000, -0.6610829000, 0.5273224000)
(-0.5390893000, -0.6609119000, 0.5220664000)
(-0.5365401000, -0.6651914000, 0.5192492000)
(-0.5426484000, -0.6579442000, 0.5221401000)
(-0.5525628000, -0.6759412000, 0.4876118000)
(-0.5527016000, -0.6776778000, 0.4850272000)
(-0.5511290000, -0.6796000000, 0.4841300000)
(-0.5503088000, -0.6847435000, 0.4777888000)
(-0.5573319000, -0.6768420000, 0.4808902000)
(-0.5633604000, -0.6602353000, 0.4967015000)
(-0.5458670000, -0.6831552000, 0.4850966000)
(-0.5358005000, -0.6765776000, 0.5051098000)
(-0.5154083000, -0.6811407000, 0.5199712000)
(-0.5205256000, -0.6770644000, 0.5202114000)
(-0.5180650000, -0.6782057000, 0.5211911000)
(-0.5230587000, -0.6780638000, 0.5163482000)
(-0.5251769000, -0.6761186000, 0.5167701000)
(-0.5254410000, -0.6762257000, 0.5163326000)
(-0.5257177000, -0.6746804000, 0.5180804000)
(-0.5270772000, -0.6726640000, 0.5193314000)
(-0.5304738000, -0.6747236000, 0.5131438000)
(-0.5330722000, -0.6756221000, 0.5092514000)
(-0.5336685000, -0.6767219000, 0.5071677000)
(-0.5318738000, -0.6774309000, 0.5081212000)
(-0.5360708000, -0.6756434000, 0.5060775000)
(-0.5445407000, -0.6739964000, 0.4991943000)
(-0.5423579000, -0.6793593000, 0.4942607000)
(-0.5447814000, -0.6758645000, 0.4963930000)
(-0.5439992000, -0.6691136000, 0.5062807000)
(-0.5455258000, -0.6669134000, 0.5075432000)
(-0.5547186000, -0.6773103000, 0.4832415000)
(-0.5355663000, -0.6620682000, 0.5242273000)
(-0.5099535000, -0.6845919000, 0.5208446000)
(-0.5035809000, -0.6940081000, 0.5145174000)
(-0.5067041000, -0.6900887000, 0.5167358000)
(-0.5109702000, -0.6899464000, 0.5126981000)
(-0.5035578000, -0.6946661000, 0.5136505000)
(-0.5072371000, -0.6919525000, 0.5136967000)
(-0.5083573000, -0.6959926000, 0.5070940000)
(-0.5100536000, -0.6995368000, 0.5004877000)
(-0.5160345000, -0.6912816000, 0.5058002000)
(-0.5201814000, -0.6899514000, 0.5033391000)
(-0.5226997000, -0.6878395000, 0.5036259000)
(-0.5291014000, -0.6674201000, 0.5240091000)
(-0.5289454000, -0.6625233000, 0.5303345000)
(-0.5278829000, -0.6624972000, 0.5314193000)
(-0.5296664000, -0.6613371000, 0.5310938000)
(-0.5312592000, -0.6606883000, 0.5303319000)
(-0.5108926000, -0.6615775000, 0.5488944000)
(-0.4979575000, -0.6619991000, 0.5601724000)
(-0.4944172000, -0.6558835000, 0.5704019000)
(-0.4913049000, -0.6528715000, 0.5765126000)
(-0.4876716000, -0.6563638000, 0.5756209000)
(-0.4895646000, -0.6535714000, 0.5771983000)
(-0.4917028000, -0.6535795000, 0.5753691000)
(-0.4918403000, -0.6556690000, 0.5728525000)
(-0.4893311000, -0.6587829000, 0.5714414000)
(-0.5004548000, -0.6548073000, 0.5663654000)
(-0.4904672000, -0.6594930000, 0.5696524000)
(-0.4921578000, -0.6675244000, 0.5587360000)
(-0.5013788000, -0.6780831000, 0.5374043000)
(-0.5018244000, -0.6800086000, 0.5345599000)
(-0.5056487000, -0.6777117000, 0.5338588000)
(-0.5067519000, -0.6777444000, 0.5327752000)
(-0.5111781000, -0.6736794000, 0.5337133000)
(-0.5137613000, -0.6735512000, 0.5313652000)
(-0.5119225000, -0.6760613000, 0.5299711000)
(-0.5133743000, -0.6744141000, 0.5306416000)
(-0.5149218000, -0.6738383000, 0.5298802000)
(-0.5178283000, -0.6797029000, 0.5194713000)
(-0.5186033000, -0.6836724000, 0.5134482000)
(-0.5153646000, -0.6864478000, 0.5129999000)
(-0.5256340000, -0.6605893000, 0.5360041000)
(-0.5229176000, -0.6603857000, 0.5389193000)
(-0.5256243000, -0.6727155000, 0.5207219000)
(-0.5330495000, -0.6534986000, 0.5373895000)
(-0.5329860000, -0.6611611000, 0.5279930000)
(-0.5342617000, -0.6718228000, 0.5130345000)
(-0.5310344000, -0.6816906000, 0.5032634000)
(-0.5289900000, -0.6838294000, 0.5025126000)
(-0.5283487000, -0.6831833000, 0.5040825000)
(-0.5434258000, -0.6538587000, 0.5264307000)
(-0.5448696000, -0.6551147000, 0.5233908000)
(-0.5476968000, -0.6532182000, 0.5228066000)
(-0.5601430000, -0.6701277000, 0.4869692000)
(-0.5571824000, -0.6605605000, 0.5031847000)
(-0.5575444000, -0.6541896000, 0.5110498000)
(-0.5553001000, -0.6519217000, 0.5163524000)
(-0.5616783000, -0.6523963000, 0.5087877000)
(-0.5612188000, -0.6528488000, 0.5087280000)
(-0.5745031000, -0.6689914000, 0.4715795000)
(-0.5711102000, -0.6675400000, 0.4777046000)
(-0.5711479000, -0.6688040000, 0.4758811000)
(-0.5785416000, -0.6689456000, 0.4666842000)
(-0.5782378000, -0.6722935000, 0.4622201000)
(-0.5839643000, -0.6669884000, 0.4626985000)
(-0.5345078000, -0.6664791000, 0.5197107000)
(-0.5094432000, -0.6773000000, 0.5307814000)
(-0.5186458000, -0.6865557000, 0.5095378000)
(-0.5167670000, -0.6820070000, 0.5174906000)
(-0.5194150000, -0.6819668000, 0.5149002000)
(-0.5220059000, -0.6788719000, 0.5163473000)
(-0.5242884000, -0.6801274000, 0.5123804000)
(-0.5162922000, -0.6799449000, 0.5206609000)
(-0.5180587000, -0.6804451000, 0.5182599000)
(-0.5161336000, -0.6826303000, 0.5173174000)
