(-0.5241589000, -0.3928058000, 0.0979866600, 0.7492394000)
(-0.5243024000, -0.3926862000, 0.0980567300, 0.7491926000)
(-0.5241584000, -0.3928204000, 0.0979795100, 0.7492331000)
(-0.5242550000, -0.3928582000, 0.0979795800, 0.7491457000)
(-0.5242777000, -0.3928195000, 0.0980276800, 0.7491437000)
(-0.5242230000, -0.3927856000, 0.0980601300, 0.7491955000)
(-0.5243965000, -0.3928455000, 0.0979176900, 0.7490614000)
(-0.5243965000, -0.3928455000, 0.0979176900, 0.7490614000)
(-0.5241550000, -0.3928341000, 0.0981424200, 0.7492069000)
(-0.5240324000, -0.3927722000, 0.0980912100, 0.7493319000)
(-0.5241728000, -0.3927777000, 0.0980909200, 0.7492308000)
(-0.5241370000, -0.3928469000, 0.0981558300, 0.7492111000)
(-0.5242434000, -0.3928051000, 0.0981873400, 0.7491544000)
(-0.5240744000, -0.3927315000, 0.0981491100, 0.7493163000)
(-0.5241557000, -0.3926605000, 0.0981549500, 0.7492958000)
(-0.5241223000, -0.3926740000, 0.0982004800, 0.7493061000)
(-0.5240936000, -0.3927150000, 0.0981096000, 0.7493167000)
(-0.5241076000, -0.3926628000, 0.0980567900, 0.7493412000)
(-0.5240173000, -0.3927384000, 0.0980016900, 0.7493718000)
(-0.5241322000, -0.3927770000, 0.0982160600, 0.7492431000)
(-0.5241032000, -0.3927645000, 0.0981028900, 0.7492849000)
(-0.5240693000, -0.3927077000, 0.0979505600, 0.7493582000)
(-0.5240534000, -0.3927004000, 0.0980269300, 0.7493632000)
(-0.5240880000, -0.3925829000, 0.0980006900, 0.7494040000)
(-0.5239826000, -0.3927874000, 0.0980893100, 0.7493590000)
(-0.5240667000, -0.3927945000, 0.0980015600, 0.7493079000)
(-0.5241197000, -0.3926226000, 0.0979808300, 0.7493637000)
(-0.5241763000, -0.3926465000, 0.0980509900, 0.7493024000)
(-0.5241264000, -0.3927170000, 0.0980109300, 0.7493055000)
(-0.5241947000, -0.3927299000, 0.0981139100, 0.7492376000)
(-0.5241677000, -0.3925518000, 0.0979915700, 0.7493657000)
(-0.5240493000, -0.3928178000, 0.0980013700, 0.7493079000)
(-0.5240677000, -0.3927014000, 0.0979110400, 0.7493678000)
(-0.5241581000, -0.3926668000, 0.0981319000, 0.7492938000)
(-0.5241922000, -0.3928163000, 0.0979859400, 0.7492108000)
(-0.5241089000, -0.3927761000, 0.0980113000, 0.7492868000)
(-0.5240595000, -0.3928278000, 0.0980521800, 0.7492889000)
(-0.5240443000, -0.3927543000, 0.0981055900, 0.7493310000)
(-0.5241345000, -0.3927411000, 0.0979126500, 0.7493001000)
(-0.5239820000, -0.3928128000, 0.0979067500, 0.7493699000)
(-0.5239770000, -0.3928623000, 0.0979961000, 0.7493358000)
(-0.5240564000, -0.3926882000, 0.0980724600, 0.7493616000)
(-0.5239996000, -0.3928443000, 0.0979759500, 0.7493320000)
(-0.5239351000, -0.3926342000, 0.0978740400, 0.7495006000)
(-0.5239239000, -0.3926552000, 0.0979728900, 0.7494845000)
(-0.5240292000, -0.3926086000, 0.0979580100, 0.7494372000)
(-0.5239733000, -0.3926617000, 0.0978749800, 0.7494593000)
(-0.5239481000, -0.3927188000, 0.0980041000, 0.7494301000)
(-0.5238911000, -0.3927875000, 0.0978066600, 0.7494599000)
(-0.5240048000, -0.3928489000, 0.0978277700, 0.7493454000)
(-0.5239508000, -0.3928007000, 0.0980395600, 0.7493807000)
(-0.5240430000, -0.3927903000, 0.0979004800, 0.7493399000)
(-0.5239424000, -0.3928019000, 0.0978816000, 0.7494066000)
(-0.5239099000, -0.3927457000, 0.0979835800, 0.7494455000)
(-0.5240158000, -0.3928574000, 0.0978905300, 0.7493250000)
(-0.5239978000, -0.3927393000, 0.0978962000, 0.7493988000)
(-0.5240717000, -0.3927239000, 0.0979265300, 0.7493512000)
(-0.5240686000, -0.3927533000, 0.0979243700, 0.7493383000)
(-0.5239789000, -0.3927661000, 0.0979630400, 0.7493892000)
(-0.5239112000, -0.3927627000, 0.0978574000, 0.7494521000)
(-0.5238761000, -0.3927498000, 0.0978791200, 0.7494806000)
(-0.5240002000, -0.3927498000, 0.0980041300, 0.7493775000)
(-0.5240157000, -0.3927577000, 0.0979014600, 0.7493759000)
