(-0.6501161000, -0.2533105000, 0.1152913000, 0.7070296000)
(-0.6501209000, -0.2533986000, 0.1152759000, 0.7069961000)
(-0.6501930000, -0.2533386000, 0.1152321000, 0.7069585000)
(-0.6500988000, -0.2533618000, 0.1152273000, 0.7070375000)
(-0.6503093000, -0.2533614000, 0.1152269000, 0.7068442000)
(-0.6503037000, -0.2533523000, 0.1151686000, 0.7068620000)
(-0.6500816000, -0.2533479000, 0.1153848000, 0.7070326000)
(-0.6500816000, -0.2533479000, 0.1153848000, 0.7070326000)
(-0.6509097000, -0.2547608000, 0.1146413000, 0.7058831000)
(-0.6509591000, -0.2548305000, 0.1147103000, 0.7058011000)
(-0.6509035000, -0.2547529000, 0.1146235000, 0.7058945000)
(-0.6508862000, -0.2547388000, 0.1145923000, 0.7059206000)
(-0.6508129000, -0.2547733000, 0.1147301000, 0.7059534000)
(-0.6508347000, -0.2547484000, 0.1146332000, 0.7059580000)
(-0.6508622000, -0.2546949000, 0.1145814000, 0.7059605000)
(-0.6508662000, -0.2546753000, 0.1146540000, 0.7059520000)
(-0.6507378000, -0.2545319000, 0.1145817000, 0.7061338000)
(-0.6507846000, -0.2546303000, 0.1145852000, 0.7060546000)
(-0.6509702000, -0.2545510000, 0.1145247000, 0.7059219000)
(-0.6508859000, -0.2546875000, 0.1146846000, 0.7059245000)
(-0.6508538000, -0.2546389000, 0.1146563000, 0.7059762000)
(-0.6508902000, -0.2547291000, 0.1144901000, 0.7059371000)
(-0.6508256000, -0.2546928000, 0.1146093000, 0.7059904000)
(-0.6507846000, -0.2545656000, 0.1144663000, 0.7060972000)
(-0.6508574000, -0.2545909000, 0.1146010000, 0.7059991000)
(-0.6509320000, -0.2546301000, 0.1146322000, 0.7059111000)
(-0.6509217000, -0.2546850000, 0.1148006000, 0.7058734000)
(-0.6509686000, -0.2546487000, 0.1147232000, 0.7058560000)
(-0.6510176000, -0.2547234000, 0.1148105000, 0.7057695000)
(-0.6508521000, -0.2547112000, 0.1145860000, 0.7059630000)
(-0.6508916000, -0.2546814000, 0.1147183000, 0.7059159000)
(-0.6511328000, -0.2546087000, 0.1147504000, 0.7057144000)
(-0.6510718000, -0.2545819000, 0.1147907000, 0.7057738000)
(-0.6509828000, -0.2545432000, 0.1148129000, 0.7058663000)
(-0.6508310000, -0.2546641000, 0.1148015000, 0.7059645000)
(-0.6509940000, -0.2546517000, 0.1147859000, 0.7058212000)
(-0.6510520000, -0.2546566000, 0.1146903000, 0.7057815000)
(-0.6509082000, -0.2547741000, 0.1147749000, 0.7058579000)
(-0.6509441000, -0.2545822000, 0.1148286000, 0.7058854000)
(-0.6509356000, -0.2546275000, 0.1147766000, 0.7058854000)
(-0.6510118000, -0.2547368000, 0.1147727000, 0.7057762000)
(-0.6509017000, -0.2546545000, 0.1147382000, 0.7059131000)
(-0.6510043000, -0.2546083000, 0.1148609000, 0.7058151000)
(-0.6508467000, -0.2547278000, 0.1149427000, 0.7059041000)
(-0.6510379000, -0.2546152000, 0.1148330000, 0.7057862000)
(-0.6508618000, -0.2547845000, 0.1149705000, 0.7058651000)
(-0.6509284000, -0.2546288000, 0.1148905000, 0.7058729000)
(-0.6508939000, -0.2545145000, 0.1150115000, 0.7059264000)
(-0.6510007000, -0.2546263000, 0.1147445000, 0.7058309000)
(-0.6508861000, -0.2545735000, 0.1148390000, 0.7059403000)
(-0.6508152000, -0.2547005000, 0.1149368000, 0.7059439000)
(-0.6508355000, -0.2546035000, 0.1146487000, 0.7060071000)
(-0.6508622000, -0.2547826000, 0.1148599000, 0.7058835000)
(-0.6509599000, -0.2547780000, 0.1148473000, 0.7057971000)
(-0.6509236000, -0.2547377000, 0.1148907000, 0.7058381000)
(-0.6508509000, -0.2546102000, 0.1149489000, 0.7059416000)
(-0.6508541000, -0.2548208000, 0.1149722000, 0.7058589000)
(-0.6508120000, -0.2546448000, 0.1151248000, 0.7059364000)
(-0.6509156000, -0.2545458000, 0.1149273000, 0.7059087000)
(-0.6508386000, -0.2546631000, 0.1150970000, 0.7059097000)
(-0.6507896000, -0.2547035000, 0.1148997000, 0.7059725000)
(-0.6508434000, -0.2545767000, 0.1148289000, 0.7059801000)
(-0.6509053000, -0.2546876000, 0.1150639000, 0.7058448000)
